"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Lemons: Leveraging Model-Based Techniques to Enable Non-Intrusive Semantic Enrichment in Wireless Sensor Networks","J. Novacek; A. Kühlwein; S. Reiter; A. Viehl; O. Bringmann; W. Rosenstiel","FZI Research Center for Information Technology, Karlsruhe; FZI Research Center for Information Technology, Karlsruhe, India; FZI Research Center for Information Technology, Karlsruhe; FZI Research Center for Information Technology, Karlsruhe; FZI Research Center for Information Technology, Karlsruhe; FZI Research Center for Information Technology, Karlsruhe",2020 46th Euromicro Conference on Software Engineering and Advanced Applications (SEAA),"16 Oct 2020","2020","","","561","568","The paper presents an efficient approach to the semantic enrichment of measured sensor data in Wireless Sensor Networks (WSNs), by bridging techniques from Model-driven Software Development (MDSD) and Semantic Web Technology (SWT). Our approach reinforces data interoperability, fostering data sharing and reuse, by utilizing SWT. Model-based and type-agnostic configuration reduces the overall effort for WSN setup and maintenance, which are traditionally complex and time-consuming tasks. The presented approach addresses the problem of large-scale WSN management through the application of SWT in WSN configuration and management without requiring expert knowledge. Additionally, we present a generic architecture and an implementation which is also supplemented by hands-on descriptions of an illustrative use case. Our experimental results demonstrate that our model-based approach provides non-intrusive semantic enrichment with sub-millisecond computational overhead, as well as partially automated configuration of WSNs.","","978-1-7281-9532-2","10.1109/SEAA51224.2020.00092","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9226280","Internet of Things;Semantic Web of Things;Wireless Sensor Networks;Knowledge-based Engineering;Model-Driven Software Development;DevOps","Wireless sensor networks;Semantics;Ontologies;Software;Data models;Robot sensing systems;OWL","","3","","31","IEEE","16 Oct 2020","26-28 Aug. 2020","26-28 Aug. 2020","IEEE","IEEE Conferences"
"Applying Artificial Intelligence to DevOps: A Study on AI-Driven Anomaly Detection and Predictive Maintenance in Cloud Environments","A. Patel; R. Laudya; H. Ragothaman; P. Pandey","NA; NA; Advanced Micro Devices, Inc (AMD); Tiffany & Co.","2025 1st International Conference on Secure IoT, Assured and Trusted Computing (SATC)","4 Sep 2025","2025","","","1","8","This research focuses on adopting AI as an innovative technology in the DevOps framework for detecting anomalies and implementing predictive maintenance in compute clouds. The use of DevOps in cloud computing has become popular due to the new complexities that need to be effectively dealt with by prior forms of DevOps. AI’s automated way can detect anomalies, explore the possibility of System Failure, and prevent them from happening with the help of such technology. This research aims to analyze the main options for enhancing DevOps employing AI and consider the effectiveness of AI solutions in cloud environments. In some areas, such as anomaly detection and predictive maintenance, ensuring the key aims are defined and quantifiable in the evaluation metric data will be essential. The major measures are accuracy, the measure of precision, and the measure of recall and F1 measure.","","979-8-3315-1420-4","10.1109/SATC65530.2025.11137316","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11137316","DevOps;Anomaly Detection;AI Integration;Workflow Automation;Artificial Intelligence","Measurement;Cloud computing;Trusted computing;DevOps;Automation;Accuracy;Complexity theory;Artificial intelligence;Anomaly detection;Predictive maintenance","","1","","17","IEEE","4 Sep 2025","25-27 Feb. 2025","25-27 Feb. 2025","IEEE","IEEE Conferences"
"Keynote Speech 1 : AI For 4ir: Sofware Engineering Challenges","S. B. Sahibuddin","Universiti Teknologi Malaysia, Kuala Lumpur, Malaysia",2019 2nd International Conference of Computer and Informatics Engineering (IC2IE),"27 Dec 2019","2019","","","1","1","Artificial intelligence (AI) is gaining a strong foothold across numerous applications, lowering the barriers to the use and availability of data. The development of AI cannot be separated from the Industrial Revolution 4.0. AI itself is the senses cognitive and machine learning process in problem- solving. AI systems modeled after the way that human brains operate; taking in information and activating neurons that themselves are not smart, but combine to create probabilistic models that mimic our pattern-recognizing intelligence. Considering this notion of similarity, it subsequently seems abundantly evident that problems facing human-created artificial intelligence will be those that plague human intelligence. The Cyber-Physical System (CPS), together with the Internet of Things, Big Data, Cloud Computing, and Industrial Wireless Networks, are the core technologies related to Industry 4.0. It is crucial to identify the specificities of AI software in software engineering to cope with the Industrial Revolution 4.0. The software used in AI-related with industrial revolution 4.0 needs to follow the rules of software engineering as the AI used is a part of the application used in industrial revolutions 4.0. The challenges in the software related AI can be solved using the PDCA approach, SDLC model, and DevOps practices.","","978-1-7281-2384-4","10.1109/IC2IE47452.2019.8940877","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8940877","","Artificial intelligence;Software;Software engineering;Brain modeling;Wireless networks;Probabilistic logic;Neurons","","","","","IEEE","27 Dec 2019","10-11 Sept. 2019","10-11 Sept. 2019","IEEE","IEEE Conferences"
"Rider Optimization based Optimized Deep-CNN towards Attack Detection in IoT","S. K. Sarma","Working for UST global, Technopark, Trivandrum",2020 4th International Conference on Intelligent Computing and Control Systems (ICICCS),"19 Jun 2020","2020","","","163","169","More researchers have made efforts on introducing various models for IoT security frameworks, however, no single IoT framework could assure the optimal security in opposition to varied kinds of attacks. Thereby, this paper intends to propose a new attack detection system by interlinking the Development and Operations (DevOps) concept. The proposed attack detection system involves two stages: Proposed Feature Extraction and Classification. In the first stage, the concatenation of statistical and higher-order statistical features is extracted. These extracted features are then subjected to Deep Convolutional Neural Network (CNN) based classification to identify the attacks in the network. To improve the classification accuracy, the convolution layers in DCNN are optimally tuned using Rider Optimization Algorithm (ROA). Finally, analysis is carried out for validating the betterment of the adopted scheme.","","978-1-7281-4876-2","10.1109/ICICCS48265.2020.9121042","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9121042","IoT;Attack Detection;Proposed Feature Extraction;Classification;ROA model","Analytical models;Convolution;Computational modeling;Feature extraction;Control systems;Classification algorithms;Security","","1","","21","IEEE","19 Jun 2020","13-15 May 2020","13-15 May 2020","IEEE","IEEE Conferences"
"Continuous Integration for Electronic Products–Enabled by Digital Twins","C. Wolff; P. Schulz; J. Rettkowski; N. Sleibi; S. Trimech; C. Hensen","Fachhochschule Dortmund IDiAL Sonnenstr. 96; HAW Hamburg Berliner Tor 7, Hamburg; Fachhochschule Dortmund IDiAL Sonnenstr. 96; Fachhochschule Dortmund IDiAL Sonnenstr. 96; Fachhochschule Dortmund IDiAL Sonnenstr. 96; CP contech electronic GmbH Westring 31a, Leopoldshöhe",2025 IEEE 13th International Conference on Intelligent Data Acquisition and Advanced Computing Systems: Technology and Applications (IDAACS),"13 Jan 2026","2025","","","1","7","The need for frequent new features, bug fixes and updates has led to the development of the continuous integration/continuous deployment (CI/CD) paradigm in software production. For embedded systems, this transformation is inhibited mainly by the constraints of electronics manufacturing, both in prototyping and in production and delivery of the final product. Nevertheless, the agile transformation of the embedded systems market requires a more flexible and continuous integration of new features while the growing complexity leads to more frequent bug fixes. The main inhibiting factor is the high effort and turn-around time (TAT) for changes of the hardware of the product or the production systems. This contribution presents the concept of a CI engineering chain and design flow for electronic products based on the adaptation of the concept of the digital twin. This concept connects the model-based systems engineering (MBSE) approaches used in the frontend of the engineering chain (development, verification) with the established concept of the digital twin in the backend of the chain (production, product test, logistics, deployment) by enhancing the structural system descriptions contained in “classical” digital twins with the functional models used in MBSE. The concept is illustrated by mapping it to the case of an electronics manufacturing service (EMS) provider.","2770-4254","979-8-3315-8045-2","10.1109/IDAACS68557.2025.11322082","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11322082","CI/CD;DevOps;Electronic Manufacturing;Digital Twin","Production systems;Embedded systems;Computer bugs;Continuous integration;Software;Hardware;Digital twins;Manufacturing;Consumer electronics;Logistics","","","","21","IEEE","13 Jan 2026","4-6 Sept. 2025","4-6 Sept. 2025","IEEE","IEEE Conferences"
"The Automotive Take on Continuous Experimentation: A Multiple Case Study","F. Giaimo; H. Andrade; C. Berger","Chalmers| University of Gothenburg, Gothenburg, Sweden; Chalmers| University of Gothenburg, Gothenburg, Sweden; University of Gothenburg, Gothenburg, Sweden",2019 45th Euromicro Conference on Software Engineering and Advanced Applications (SEAA),"21 Nov 2019","2019","","","126","130","Recently, an increasingly growing number of companies is focusing on achieving self-driving systems towards SAE level 3 and higher. Such systems will have much more complex capabilities than today's advanced driver assistance systems (ADAS) like adaptive cruise control and lane-keeping assistance. For complex software systems in the Web-application domain, the logical successor for Continuous Integration and Deployment (CI/CD) is known as Continuous Experimentation (CE), where product owners jointly with engineers systematically run A/B experiments on possible new features to get quantifiable data about a feature's adoption from the users. While this methodology is increasingly adopted in software-intensive companies, our study is set out to explore advantages and challenges when applying CE during the development and roll-out of functionalities required for self-driving vehicles. This paper reports about the design and results from a multiple case study that was conducted at four companies including two automotive OEMs with a long history of developing vehicles, a Tier-1 supplier, and a start-up company within the area of automated driving systems. Unanimously, all expect higher quality and fast roll-out cycles to the fleet; as major challenges, however, safety concerns next to organizational structures are mentioned.","","978-1-7281-3421-5","10.1109/SEAA.2019.00028","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8906771","Continuous Experimentation;Automotive;Cyber Physical Systems;Autonomous Driving","Companies;Software;Automotive engineering;Conferences;Safety;Industries;Autonomous vehicles","","9","","13","IEEE","21 Nov 2019","28-30 Aug. 2019","28-30 Aug. 2019","IEEE","IEEE Conferences"
"Multi-Grained Trace Collection, Analysis, and Management of Diverse Container Images","Z. Huang; Q. Zhang; H. Fan; S. Wu; C. Yu; H. Jin; J. Deng; J. Gu; Z. Tang","National Engineering Research Center for Big Data Technology and System, Services Computing Technology and System Lab, Cluster and Grid Computing Lab, School of Computer Science and Technology, Huazhong University of Science and Technology, Wuhan, China; National Engineering Research Center for Big Data Technology and System, Services Computing Technology and System Lab, Cluster and Grid Computing Lab, School of Computer Science and Technology, Huazhong University of Science and Technology, Wuhan, China; National Engineering Research Center for Big Data Technology and System, Services Computing Technology and System Lab, Cluster and Grid Computing Lab, School of Computer Science and Technology, Huazhong University of Science and Technology, Wuhan, China; National Engineering Research Center for Big Data Technology and System, Services Computing Technology and System Lab, Cluster and Grid Computing Lab, School of Computer Science and Technology, Huazhong University of Science and Technology, Wuhan, China; National Engineering Research Center for Big Data Technology and System, Services Computing Technology and System Lab, Cluster and Grid Computing Lab, School of Computer Science and Technology, Huazhong University of Science and Technology, Wuhan, China; National Engineering Research Center for Big Data Technology and System, Services Computing Technology and System Lab, Cluster and Grid Computing Lab, School of Computer Science and Technology, Huazhong University of Science and Technology, Wuhan, China; Alibaba Group, Hangzhou, China; Alibaba Group, Hangzhou, China; Alibaba Group, Hangzhou, China",IEEE Transactions on Computers,"10 Jun 2024","2024","73","7","1698","1710","Container technology is getting popular in cloud environments due to its lightweight feature and convenient deployment. The container registry plays a critical role in container-based clouds, as many container startups involve downloading layer-structured container images from a container registry. However, the container registry is struggling to efficiently manage images (i.e., transfer and store) with the emergence of diverse services and new image formats. The reason is that the container registry manages images uniformly at layer granularity. On the one hand, such uniform layer-level management probably cannot fit the various requirements of different kinds of containerized services well. On the other hand, new image formats organizing data in blocks or files cannot benefit from such uniform layer-level image management. In this paper, we perform the first analysis of image traces at multiple granularities (i.e., image-, layer-, and file-level) for various services and provide an in-depth comparison of different image formats. The traces are collected from a production-level container registry, amounting to 24 million requests and involving more than 184 TB of transferred data. We provide a number of valuable insights, including request patterns of services, file-level access patterns, and bottlenecks associated with different image formats. Based on these insights, we also propose two optimizations to improve image transfer and application deployment.","1557-9956","","10.1109/TC.2024.3383966","National Key Research and Development Program of China(grant numbers:2022YFB4500704); National Science Foundation of China(grant numbers:62032008,62232012,62202196); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10494783","Container image;on-demand image;cache;prefetch","Containers;Prefetching;DevOps;Optimization;Peer-to-peer computing;Internet of Things;Fans","","4","","37","CCBYNCND","8 Apr 2024","July 2024","","IEEE","IEEE Journals"
"IoT Apiary Fleet Management with Jenkins","C. Campell; J. Graber; R. Tashakkori; W. O’Brien","Appalachian State University, Boone, United States of America; Appalachian State University, Boone, United States of America; Appalachian State University, Boone, United States of America; Appalachian State University, Boone, United States of America","2022 IEEE 13th Annual Ubiquitous Computing, Electronics & Mobile Communication Conference (UEMCON)","1 Dec 2022","2022","","","0328","0335","In recent years, a large number of honey bee colonies have collapsed due to various causes including Varroa Mites. Computerized honey bee monitoring systems have gained significant attention as part of the efforts by scientists and beekeepers to both learn more about the bee’s behavior, and to determine their health. AppMAIS was funded in 2021 by the North Carolina General Assembly to obtain audio and video recordings as well as humidity, temperature, and weight data from 30 hives in Western North Carolina. In addition to this data, the project also collects genetic data from these hives in order to determine their genetic diversity. The monitoring system for this project is called Beemon which has been actively developed in the Department of Computer Science for the past eight years. Managing Beemon at all 30 hive locations while keeping up with software updates was a tedious task which needed to be significantly improved. We utilized Jenkins for this purpose. This paper provides details regarding how we manage software updates on the AppMAIS beehives.","","978-1-6654-9299-7","10.1109/UEMCON54665.2022.9965635","Appalachian State University; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9965635","apiology;informatics;IoT;Jenkins;CI/CD","Performance evaluation;Temperature distribution;Pipelines;Process control;Genetics;Software;Internet of Things","","2","","30","IEEE","1 Dec 2022","26-29 Oct. 2022","26-29 Oct. 2022","IEEE","IEEE Conferences"
"Security-Integrated DevOps Pipeline System with Context-Aware Hybrid Stimulation Engine for Continuous Software Assurance","S. Kurapati; V. R; A. K. Bhardwaj; S. R K; P. Anugula","Governor's State University, USA; Department of Artificial Intelligence and Data Science, Nitte Meenakshi Institute of Technology, Nitte (Deemed to be University), Bengaluru, India; Truist Bank, Atlanta, GA, USA; Department of Information Science and Engineering, Dayananda Sagar Academy of Technology and Management, Bengaluru, India; Truist Bank, Atlanta, GA, USA","2025 2nd International Conference on Software, Systems and Information Technology (SSITCON)","22 Jan 2026","2025","","","1","6","Recently, DevOps pipelines have allowed continuous delivery, but treat security as a late-stage checklist by leaving a blind spot for stealthy supply chains that are activated only in specific environments. However, the existing dynamic analysis fails to detect stealthy malicious behaviors. Hence, this study proposes a Context-Aware Hybrid Stimulation Engine (CAHSE) to address this issue by creating realistic conditions that trick hidden malicious code into execution. Initially, the static probe extracts seeds and hotspots using Abstract Syntax Tree (AST)-based scanning and produces a stimulation plan for targeted testing. Then, an environment emulation and sandbox setup recreate realistic external contexts through a per-package Docker sandbox; thus, environmentgated logic runs. Subsequently, guided fuzzing with lightweight concolic exploration synthesizes realistic parameters to unlock the hidden branches and produce execution traces. Furthermore, Reinforcement Learning (RL)-based steering prioritizes promising environmental strategies to focus on computing high-yield tests and provides a shortlist of suspicious runs. Finally, behavioral differential analysis and heuristic rule matching compare the baseline and stimulated runs to generate an explainable detection report. The proposed CAHSE achieved better results than the existing Open-Source Software Supply Chain Attack Robust Detection (OSCAR) in terms of recall $\boldsymbol{(} 0.93$) and $\mathbf{F 1}$-score (0.92) respectively.","","979-8-3315-2623-8","10.1109/SSITCON66133.2025.11342186","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11342186","abstract syntax tree-based scanning;behavioural differential analysis;context-aware hybrid stimulation engine;reinforcement learning;security-integrated devops pipeline system","DevOps;Pipelines;Supply chains;Reinforcement learning;Syntactics;Malware;Security;Probes;Engines;Testing","","","","17","IEEE","22 Jan 2026","17-18 Oct. 2025","17-18 Oct. 2025","IEEE","IEEE Conferences"
"Challenges and Opportunities of DevOps in Cyber-Physical Production Systems Engineering","I. Koren; F. Rinker; K. Meixner; J. Matevska; J. Walter","Chair of Process and Data Science, RWTH Aachen University, Aachen, Germany; Christian Doppler Laboratory SQI, Institute of Information Systems Engineering, TU Wien, Vienna, Austria; Christian Doppler Laboratory SQI, Institute of Information Systems Engineering, TU Wien, Vienna, Austria; School of Electrical Engineering and Computer Science, City University of Applied Sciences, Bremen, Germany; Distributed Computing and Communication, OFFIS - Institute for Information Technology, Oldenburg, Germany",2023 IEEE 6th International Conference on Industrial Cyber-Physical Systems (ICPS),"24 May 2023","2023","","","1","6","DevOps is a set of practices that combines software development and operations to enable a continuous software product life cycle to improve the quality of software systems. Although DevOps is considered successful for typical software systems, it has not yet been widelyadopted in the area of - Physlcal Production Systems (CPPSs) that integrate physical components with computer-based control and communication systems. Related to industrial settings, many new challenges arise, like long-term investments, missing flexibility in asset-heavy production environments, and the inherent physicality of hardware. This paper examines the use of the DevOps methodology in the manufacturing domain. It identifies and discusses the unique challenges and describes first solution proposals to overcome those challenges, based on literature and experiences from the industry. The article provides useful guidance to researchers and practitioners on potential pitfalls and exciting opportunities.","2769-3899","979-8-3503-1125-9","10.1109/ICPS58381.2023.10128073","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10128073","DevOps;Continuous Integration;Digital Transformation;Cyber-Physical Production Systems Engineering;Research Challenges","Production systems;Data collection;Software systems;Hardware;Safety;Stakeholders;Security","","18","","17","IEEE","24 May 2023","8-11 May 2023","8-11 May 2023","IEEE","IEEE Conferences"
"Model-Based DevOps: Foundations and Challenges","B. Combemale; J. -M. Jézéquel; Q. Perez; D. Vojtisek; N. Jansen; J. Michael; F. Rademacher; B. Rumpe; A. Wortmann; J. Zhang","University of Rennes 1, Rennes, France; University of Rennes 1, Rennes, France; University of Rennes 1, Rennes, France; University of Rennes 1, Rennes, France; Software Engineering, RWTH Aachen University, Aachen, Germany; Software Engineering, RWTH Aachen University, Aachen, Germany; Software Engineering, RWTH Aachen University, Aachen, Germany; Software Engineering, RWTH Aachen University, Aachen, Germany; Institute for Control Engineering of Machine Tools and Manufacturing Units (ISW), University of Stuttgart, Stuttgart, Germany; Institute for Control Engineering of Machine Tools and Manufacturing Units (ISW), University of Stuttgart, Stuttgart, Germany",2023 ACM/IEEE International Conference on Model Driven Engineering Languages and Systems Companion (MODELS-C),"22 Dec 2023","2023","","","429","433","Time-to-market and continuous improvement are key success indicators to deliver for Industry 4.0 Cyber-Physical Systems (CPSs). There is thus a growing interest in adapting DevOps approaches coming from software systems to CPSs. However, CPSs are made not only of software but also of physical parts that need to be monitored at runtime. In this paper, we claim that Model-Driven Engineering can facilitate DevOps for CPSs by automatically connecting a CPS design model to its runtime monitoring, in the form of a digital twin.","","979-8-3503-2498-3","10.1109/MODELS-C59198.2023.00076","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10350755","DevOps;digital twins;evolution of engineering models;models at runtime;self-adaptation;model-based software engineering","Adaptation models;Runtime;Software systems;Model driven engineering;Fourth Industrial Revolution;Digital twins;Monitoring","","9","","28","IEEE","22 Dec 2023","1-6 Oct. 2023","1-6 Oct. 2023","IEEE","IEEE Conferences"
"Design Concepts of the ASSIST-IoT Smart Orchestrator for Managing the Realization of NGIoT Systems","A. Fornes-Leal; F. M. Biot; R. Vaño; R. R. Simón; P. Szmeja; I. Lacalle; C. E. Palau","Universitat Politècnica de València, València, Spain; Universitat Politècnica de València, València, Spain; Universitat Politècnica de València, València, Spain; Universitat Politècnica de València, València, Spain; Systems Research Institute, Polish Academy of Sciences, Warsaw, Poland; Universitat Politècnica de València, València, Spain; Universitat Politècnica de València, València, Spain",2023 IEEE 9th World Forum on Internet of Things (WF-IoT),"30 May 2024","2023","","","1","6","This paper presents the design of the ASSIST-IoT's smart orchestrator. This solution aims at controlling the lifecycle of next-generation IoT enablers in distributed, multi-cluster environments, easing the communication of such enablers and increasing the overall network security. The presented high-level architecture is based on three main design concepts: cloud-nativeness, encapsulation, and automation. A preliminary realization of such architecture is described, along with some graphical interfaces specifically developed to manage it. Its practical use has served for validating its expected performance, allowing the instantiation and communication of enablers in Kubernetes-based distributed ecosystems, and has shown some potential areas of improvement: better support to broader number of use cases, optimization of installation procedures considering a unique packaging format, and enabling the integration of DevOps tools for both automated system and enablers' upgrading.","2768-1734","979-8-3503-1161-7","10.1109/WF-IoT58464.2023.10539440","European Union's Horizon 2020 research and innovation program(grant numbers:957258); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10539440","orchestration;NGIoT;virtualization;Kubernetes","Encapsulation;Cloud computing;DevOps;Ecosystems;Microservice architectures;Network security;User experience","","","","13","IEEE","30 May 2024","12-27 Oct. 2023","12-27 Oct. 2023","IEEE","IEEE Conferences"
"A Cloud-Based Real-Time Weather Forecasting Application","Y. Beeharry; T. P. Fowdur; J. A. Sunglee","Department of Electrical and Electronic Engineering, University of Mauritius, Réduit; Department of Electrical and Electronic Engineering, University of Mauritius, Réduit; Department of Electrical and Electronic Engineering, University of Mauritius, Réduit","2019 14th International Conference on Advanced Technologies, Systems and Services in Telecommunications (TELSIKS)","20 Feb 2020","2019","","","294","297","With the advent of Internet of Things (IoT) applications requiring massive streaming data collections, the need for new cloud databases has risen. This work focusses on the implementation of an end-to-end system from real-time data collection to real-time prediction. The storage system is implemented on the International Business Machines (IBM) cloud platform using the Cloudant NoSQL database service. The prediction algorithm is implemented in JAVA using the Devops Insights service together with a web interface and an android mobile application. The system demonstrates rapid real-time prediction when deployed on the IBM cloud platform as well as real-time storage capabilities.","","978-1-7281-0878-0","10.1109/TELSIKS46999.2019.9002327","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9002327","Weather prediction;IBM;Cloudant;DevOPs Insights;real-time","Cloud computing;Weather forecasting;Real-time systems;Databases;Prediction algorithms;Business;Mobile applications","","7","","20","IEEE","20 Feb 2020","23-25 Oct. 2019","23-25 Oct. 2019","IEEE","IEEE Conferences"
"Enabling Cyberanalytics using IoT Clusters and Containers","S. A. Kassif Traore; M. Valero; H. Shahriar; L. Zhao; S. Ahamed; A. Lee","Computer Science Department, Kennesaw State University; Information Technology Department, Kennesaw State University; Information Technology Department, Kennesaw State University; Information Technology Department, Kennesaw State University; Computer Science Department, Marquette University; Computer Science Department, Kennesaw State University","2022 IEEE 46th Annual Computers, Software, and Applications Conference (COMPSAC)","10 Aug 2022","2022","","","1798","1803","Many tech stars like Netflix, Amazon, PayPal, eBay, and Twitter are evolving from monolithic to a microservice (containerization) architecture due to the benefits for Agile and DevOps teams. Microservices architecture can be applied to multiple industries, like IoT, using containerization. Since the IoT industry has exponential growth, universities' responsibility is to teach IoT with hands-on labs to minimize the gap between what the students learn and what is on-demand in the job market. There are many approaches in the containerization field, but they can be challenging to use without depth knowledge in virtualization and code encapsulation. After a deep analysis of the containerization challenges, in this paper, we present a cyberinfrastructure based on containers to solve the virtualization and code-encapsulation problems. The cyberinfrastructure will provide the necessary tools for data collection and code development and testing using an IoT Cluster. It is a web-based platform that allows users to securely go into containerization without spending time learning virtualization. Results show that our proposed cyberinfrastructure allows the creation and deployment of microservices in multiple IoT devices and ensures easy data collection for posterior cyberanalysis.","0730-3157","978-1-6654-8810-5","10.1109/COMPSAC54236.2022.00286","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9842500","Containerization;web-based cyberinfrastructure;Cyberanalytics;IoT Cluster","Industries;Codes;Microservice architectures;Computer architecture;Containers;Data collection;Internet of Things","","","","10","IEEE","10 Aug 2022","27 June-1 July 2022","27 June-1 July 2022","IEEE","IEEE Conferences"
"Dynamic Integration and Full-Process Automation of Agile R&D Toolchain for Software Factories","L. Zheng; X. Xie; B. Hou; D. Zhang","Institute of Computer Application, China Academy of Engineering Physics, Mianyang, China; Institute of Computer Application, China Academy of Engineering Physics, Mianyang, China; Institute of Computer Application, China Academy of Engineering Physics, Mianyang, China; Institute of Computer Application, China Academy of Engineering Physics, Mianyang, China","2025 7th International Conference on Internet of Things, Automation and Artificial Intelligence (IoTAAI)","29 Oct 2025","2025","","","427","430","As software development methodologies evolve toward Agile and DevOps practices, the demands for automation and efficient collaboration in product development and delivery processes have become increasingly stringent. Traditional R&D toolchains suffer from insufficient integration and severe data silos, which constrain delivery efficiency and quality control in software factories. Against the backdrop of enterprise digital transformation, this paper designs and implements a research and development toolchain integration solution tailored to actual software development scenarios, covering product automated delivery, automated testing, and continuous integration/continuous deployment (CI/CD). Through interface integration, RPA-based automated operations, containerized deployment, and digital model-driven approaches, the solution enables end-to-end connectivity of development data, automated generation of deliverables, closed-loop regression testing, and full-process automation of CI/CD pipelines. Practical applications demonstrate that this solution significantly improves delivery efficiency, traceability of quality issues, and observability of development processes, verifying the engineering application value of R&D toolchain integration.","","979-8-3315-9417-6","10.1109/IoTAAI66837.2025.11213096","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11213096","Toolchain Integration;Automated Delivery;Automated Testing;Continuous Integration;Continuous Deployment","Automation;DevOps;Digital transformation;Pipelines;Software;Production facilities;Data models;Observability;Research and development;Testing","","","","8","IEEE","29 Oct 2025","12-14 Sept. 2025","12-14 Sept. 2025","IEEE","IEEE Conferences"
"IntelligentMonitor: Empowering DevOps Environments with Advanced Monitoring and Observability","P. Thantharate",NA,2023 International Conference on Information Technology (ICIT),"29 Aug 2023","2023","","","800","805","In the dynamic field of software development, De-vOps has become a critical tool for enhancing collaboration, streamlining processes, and accelerating delivery. However, monitoring and observability within DevOps environments pose significant challenges, often leading to delayed issue detection, inefficient troubleshooting, and compromised service quality. These issues stem from DevOps environments' complex and ever-changing nature, where traditional monitoring tools often fall short, creating blind spots that can conceal performance issues or system failures. This research addresses these challenges by proposing an innovative approach to improve monitoring and observability in DevOps environments. Our solution, Intelligent-Monitor, leverages realtime data collection, intelligent analytics, and automated anomaly detection powered by advanced tech-nologies such as machine learning and artificial intelligence. The experimental results demonstrate that IntelligentMonitor effectively manages data overload, reduces alert fatigue, and improves system visibility, thereby enhancing performance and reliability. For instance, the average CPU usage across all components showed a decrease of 9.10%, indicating improved CPU efficiency. Similarly, memory utilization and network traffic showed an average increase of 7.33% and 0.49%, respectively, suggesting more efficient use of resources. By providing deep insights into system performance and facilitating rapid issue resolution, this research contributes to the DevOps community by offering a comprehensive solution to one of its most pressing challenges. This fosters more efficient, reliable, and resilient software development and delivery processes.","2831-3399","979-8-3503-2006-0","10.1109/ICIT58056.2023.10226123","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10226123","DevOps Monitoring;Intelligent Monitor;Observability in Distributed Systems;Intelligent Analytics;Anomaly Detection;Performance and Reliability Improvements","System performance;Memory management;Telecommunication traffic;Pressing;Machine learning;Software;Software reliability","","18","","7","IEEE","29 Aug 2023","9-10 Aug. 2023","9-10 Aug. 2023","IEEE","IEEE Conferences"
