Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Wang, W., Li, J.","59731012000;59481010600;","A Runtime Design of WebAssembly Container for Embedded Real-Time Operating Systems",2025,"Lecture Notes of the Institute for Computer Sciences Social Informatics and Telecommunications Engineering Lnicst","616 LNICST",,,"156","164",0,1,"10.1007/978-3-031-91853-7_17","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105006896832&doi=10.1007%2f978-3-031-91853-7_17&partnerID=40&md5=62303878d6feb09f37f81abcd23a6130",Conference Paper,"Final","",Scopus,2-s2.0-105006896832
"von Zmuda, J., Koch, T., Ahmed, S.","60133928100;60133798000;60084567300;","Continuous Integration and Delivery of ROS2 projects",2025,"IEEE International Conference on Automation Science and Engineering",,,,"2388","2395",0,,"10.1109/CASE58245.2025.11163918","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105018313030&doi=10.1109%2fCASE58245.2025.11163918&partnerID=40&md5=c0f62247d83553211e6217eadba14fc6",Conference Paper,"Final","",Scopus,2-s2.0-105018313030
"Hatzivasilis, G., Ioannidis, S.","55554489600;24767420100;","CyberHeraclius: Cyber Defence Evaluation Methodology",2025,"Proceedings of the 2025 IEEE International Conference on Cyber Security and Resilience Csr 2025",,,,"1113","1118",0,,"10.1109/CSR64739.2025.11130048","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105016254839&doi=10.1109%2fCSR64739.2025.11130048&partnerID=40&md5=3ad809fd6895674f51e5737590f62845",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-105016254839
"Agorogiannis, E., Petrakis, K., Antonopoulos, G., Anagnostopoulos, T., Grigoropoulos, N., Benomar, Z.","59921677400;58106167000;60132233600;59810290000;56784189800;57209478291;","MAGNET: An optimized DevOps framework for efficient software integration and orchestration in the IoT-Edge-Cloud Continuum",2025,"Eeite 2025 6th International Conference in Electronic Engineering and Information Technology",,,,"","",0,,"10.1109/EEITE65381.2025.11166038","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105018235835&doi=10.1109%2fEEITE65381.2025.11166038&partnerID=40&md5=ac336a9d45aaa5ca1abb510e539b73b4",Conference Paper,"Final","",Scopus,2-s2.0-105018235835
"Reyes-Hung, L., Soto, I.","58806594800;15119628600;","Machine Learning Approaches for Predicting Code Refactoring Opportunities",2025,"2025 South American Conference on Visible Light Communications Sacvlc 2025",,,,"","",0,,"10.1109/SACVLC67412.2025.11261938","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105031418656&doi=10.1109%2fSACVLC67412.2025.11261938&partnerID=40&md5=bc00f68cf396f8ca1531016ea836c550",Conference Paper,"Final","",Scopus,2-s2.0-105031418656
"Wijesekera, T., Jayarathna, L., Pathirana, G., Banu, R., Wickramarathne, J.","60199790000;60503480300;60503280600;60502490800;35147255200;","Kube5GC: Kubernetes-Native Orchestration for 5G Core Network",2025,"Proceedings of the IEEE International Conference on Intelligent Data Acquisition and Advanced Computing Systems Technology and Applications Idaacs",,,,"1206","1215",0,,"10.1109/IDAACS68557.2025.11322314","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105032729079&doi=10.1109%2fIDAACS68557.2025.11322314&partnerID=40&md5=6f4f69924ecf1527a12a4f3a3a70dab0",Conference Paper,"Final","",Scopus,2-s2.0-105032729079
"Davuluri, S.K., Challagulla, V., Mudapaka, V., Konka, U.","58404550000;59791930500;60201486500;58864545900;","Telcoformrix: An AI-Augmented Framework for Declarative and Scalable Provisioning of Real-Time Communication Infrastructure (Work in Progress)",2025,"2025 IEEE International Conference and Expo on Real Time Communications at Iit Rtc 2025",,,,"","",0,,"10.1109/RTC66985.2025.11211725","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105022239615&doi=10.1109%2fRTC66985.2025.11211725&partnerID=40&md5=b4ba87c06b8d0c703c6e26562f9d942d",Conference Paper,"Final","",Scopus,2-s2.0-105022239615
"Wu, T., Yao, H., Mai, T., Wang, Z., Wang, F., Guizani, M.","57207116475;24330114000;57203133905;57216175209;57209623973;7004750176;","Using Full-Dimensional Programmability to Power Self-Driving 6G Networks",2025,"IEEE Network","39","1",,"270","277",0,2,"10.1109/MNET.2024.3448288","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201762049&doi=10.1109%2fMNET.2024.3448288&partnerID=40&md5=1c045c8a8411257b552ca43c371cb335",Article,"Final","",Scopus,2-s2.0-85201762049
"Yelkotwar, P., Raj, R., Pingle, A., Talasila, P., Goveas, N.","60405456600;60405456700;60405208600;57200410090;57221335687;","On-Demand Cardiac Digital Twins: A Case Study on DevOps workflows for Digital Twin Platforms",2025,"Proceedings 2025 ACM IEEE 28th International Conference on Model Driven Engineering Languages and Systems Companion Models C 2025",,,,"236","242",0,,"10.1109/MODELS-C68889.2025.00041","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105030499869&doi=10.1109%2fMODELS-C68889.2025.00041&partnerID=40&md5=0df71940550cc4daefd08c31c4a18d2a",Conference Paper,"Final","",Scopus,2-s2.0-105030499869
"Wang, L., Yang, Z., Zhong, C., Zhang, W.","60194103600;60193562400;60194103700;55700285900;","Cloud-Native Hybrid Deployment Technology Under Narrowband Communication Conditions",2025,"Icnc Fskd 2025 21st International Conference on Natural Computation Fuzzy Systems and Knowledge Discovery",,,,"737","746",0,,"10.1109/ICNC-FSKD67701.2025.11198011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105021809009&doi=10.1109%2fICNC-FSKD67701.2025.11198011&partnerID=40&md5=02afa621d2c874022bd5864940b2288a",Conference Paper,"Final","",Scopus,2-s2.0-105021809009
"Gaeta, E., Salman Haleem, M., Lopez-Perez, L., Manea, M., Fernanda Cabrera Umpierrez, M., Teresa Arredondo Waldmeyer, M., Pecchia, L., Fico, G.","23469338000;59662135800;57210571063;57016469300;59661982800;58898652600;35746897300;16174738100;","GATEKEEPER Platform: Secure Processing Environment for European Health Data Space",2025,"IEEE Access","13",,,"34627","34638",0,5,"10.1109/ACCESS.2025.3539559","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217928339&doi=10.1109%2fACCESS.2025.3539559&partnerID=40&md5=7dbe33a2ce6d694d670c25745c92f116",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85217928339
"Oliveira, F.B., Di Felice, M., Kamienski, C.","59312181800;14068345500;22035040900;","IoTDeploy: Deployment of IoT Smart Applications over the Computing Continuum",2024,"Internet of Things Netherlands","28",,"101348","","",0,9,"10.1016/j.iot.2024.101348","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202997242&doi=10.1016%2fj.iot.2024.101348&partnerID=40&md5=c3a6e4756ad5f8b26cd9d2c8f9a3c305",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85202997242
"Thalla, R., Srirama, S.N.","57553656300;14632859900;","FogDEFTKube: Standards-compliant dynamic deployment of fog service containers",2024,"Software Practice and Experience","54","12",,"2428","2453",0,1,"10.1002/spe.3354","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196151347&doi=10.1002%2fspe.3354&partnerID=40&md5=713415842da5abb07516da5721c32815",Article,"Final","",Scopus,2-s2.0-85196151347
"Qu, M., He, J., Tucaković, Z., Bartocci, E., Ničković, D., Isaković, H., Grosu, R.","57205114045;57274961800;57205877939;14053557900;14024782900;55571415800;6601973195;","DeepRIoT: Continuous Integration and Deployment of Robotic-IoT Applications",2024,"Proceedings Design Automation Conference",,,"300","","",0,3,"10.1145/3649329.3658250","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85211103973&doi=10.1145%2f3649329.3658250&partnerID=40&md5=0cf50c1235537e8bc30c57d730a6fe7c",Conference Paper,"Final","All Open Access, Gold",Scopus,2-s2.0-85211103973
"Hashemi, S., Mäntylä, M.","57222250357;7006843663;","OneLog: towards end-to-end software log anomaly detection",2024,"Automated Software Engineering","31","2","37","","",0,13,"10.1007/s10515-024-00428-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190575283&doi=10.1007%2fs10515-024-00428-x&partnerID=40&md5=0dcad80711d42dff44b1e574fbfea372",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-85190575283
"Aissat, S., Beaulieu, J., Bordeleau, F., Gascon-Samson, J., Motamedi, A., Poirier, É.","59474925100;59474925200;13106215800;56022777500;6603546314;54895017500;","JuNo-OPS: A DevOps Framework for the Engineering of Digital Twins for Built Assets",2024,"Proceedings Models 2024 ACM IEEE 27th International Conference on Model Driven Engineering Languages and Systems Companion Proceedings",,,,"496","506",0,11,"10.1145/3652620.3688266","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85212223414&doi=10.1145%2f3652620.3688266&partnerID=40&md5=2be59572f3f52ae0d90b40c6650e57a7",Conference Paper,"Final","",Scopus,2-s2.0-85212223414
"Brabbs, J., Jones, B.C.","6506564502;59343060400;","How the Cloud is a Mission Enabler for Embedded System Development",2024,"SAE Technical Papers",,,,"","",0,,"10.4271/2024-01-4101","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204934928&doi=10.4271%2f2024-01-4101&partnerID=40&md5=0cc9fdf72fbb3e9c9c94c8c556e3d4fb",Conference Paper,"Final","",Scopus,2-s2.0-85204934928
"Trabelsi, I., Popa, B., Péreyrol, J., Beaulieu, P.-O., Moha, N.","56717790600;59315510300;59314322900;59315510400;18038269700;","MicroMatic: Fully Automated Microservices Identification Approach from Monolithic Systems",2024,"Proceedings 2024 ACM IEEE 6th International Workshop on Software Engineering Research and Practices for the Internet of Things Serp4iot 2024",,,,"7","13",0,3,"10.1145/3643794.3648283","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203148592&doi=10.1145%2f3643794.3648283&partnerID=40&md5=aac1aa789e9a70f67fccbef2c3deda65",Conference Paper,"Final","",Scopus,2-s2.0-85203148592
"Ribeiro, E., Restivo, A., Ferreira, H.S., Dias, J.P.","59012678100;26531800800;35188804100;57194725990;","WASMICO: Micro-containers in microcontrollers with WebAssembly",2024,"Journal of Systems and Software","214",,"112081","","",0,4,"10.1016/j.jss.2024.112081","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192025807&doi=10.1016%2fj.jss.2024.112081&partnerID=40&md5=03092a00184503523e6880d8b230613c",Article,"Final","",Scopus,2-s2.0-85192025807
"Delaitre, S., Pulgar Gutiérrez, J.M.","6506306504;59245098900;","Vulnerability detection tool in source code by building and leveraging semantic code graph.",2024,"ACM International Conference Proceeding Series",,,"149","","",0,2,"10.1145/3664476.3670942","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200418058&doi=10.1145%2f3664476.3670942&partnerID=40&md5=dd36445e29a740a46b6162489cd3c1f7",Conference Paper,"Final","",Scopus,2-s2.0-85200418058
"Mendis, P., Reeves, W., Babar, M.A., Zhang, Y., Rahman, A.","59227505600;59202234800;6602842620;58246013700;57188647874;","Evaluating the Quality of Open Source Ansible Playbooks: An Executability Perspective",2024,"Sea4dq 2024 Proceedings of the 4th International Workshop on Software Engineering and AI for Data Quality in Cyber Physical Systems Internet of Things Co Located with Esec Fse 2024",,,,"2","5",0,2,"10.1145/3663530.3665019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199216857&doi=10.1145%2f3663530.3665019&partnerID=40&md5=86766d93a6906a038877753c1d8053a8",Conference Paper,"Final","",Scopus,2-s2.0-85199216857
"Saravanakumar, R., Arularasan, A.N., Harekal, D., Praveen, K.R., Kaliyamoorthi, P., Pushpalatha, K.S., Vidhya, R.G.","55587425400;57118243800;56453482800;57188626251;58408108400;59153654800;57751176300;","Advancing Smart Cyber Physical System with Self-Adaptive Software",2024,"International Research Journal of Multidisciplinary Scope","5","3",,"571","582",0,12,"10.47857/irjms.2024.v05i03.01013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201668038&doi=10.47857%2firjms.2024.v05i03.01013&partnerID=40&md5=27cbd138e9a9e8483683cb6293e074e2",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85201668038
"Soldani, J., Amadini, R., Brogi, A., Forti, S., Giallorenzo, S., Plebani, P., Vitali, M., Zavattaro, G.","56203938200;55975718400;57193752782;57195946378;55932233200;22734593000;42662409700;6701571633;","Towards Sustainable Deployment of Microservices over the Cloud-IoT Continuum, with FREEDA",2024,"Frame 2024 Proceedings of the 2024 on Workshop on Flexible Resource and Application Management on the Edge Part of Hpdc 2024 3rd International Symposium on High Performance Parallel and Distributed Computing",,,,"1","4",0,5,"10.1145/3659994.3660311","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195187443&doi=10.1145%2f3659994.3660311&partnerID=40&md5=f70f74c719865410faa63a1f6f8a9e7d",Conference Paper,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85195187443
"Eguzo, C., Scherer, B., Kebel, D., Bekman, I., Streun, M., Schlosser, M., Van Waasen, S.","57202044433;58609579800;59160440500;59017723500;6601967146;35181942200;6603964299;","On Automating FPGA Design Build Flow Using GitLab CI",2024,"IEEE Embedded Systems Letters","16","2",,"227","230",0,3,"10.1109/LES.2023.3314148","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171745178&doi=10.1109%2fLES.2023.3314148&partnerID=40&md5=394ebbb9137120d1fe864db93b34f5cd",Article,"Final","",Scopus,2-s2.0-85171745178
"Cederbladh, J., Eramo, R., Muttillo, V., Strandberg, P.E.","58813190300;18039710400;56805275400;57193354005;","Experiences and challenges from developing cyber-physical systems in industry-academia collaboration",2024,"Software Practice and Experience","54","6",,"1193","1212",0,16,"10.1002/spe.3312","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182415072&doi=10.1002%2fspe.3312&partnerID=40&md5=5712249c2cc4e4573f7b878c3bc4d126",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-85182415072
"Ratushniak, O., Cabrero-Daniel, B.","58244085200;57219337738;","Designing Digital Twins for Enhanced Reusability",2024,"Proceedings International Conference on Software Engineering",,,,"331","332",0,2,"10.1145/3639478.3643102","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194832352&doi=10.1145%2f3639478.3643102&partnerID=40&md5=745fa307981e2f37b04b35548740bb79",Conference Paper,"Final","All Open Access, Gold",Scopus,2-s2.0-85194832352
"Aldalur, I., Arrieta, A., Agirre, A., Sagardui, G., Arratibel, M.","56492990100;56514865400;57203899020;13104721400;57219568384;","A microservice-based framework for multi-level testing of cyber-physical systems",2024,"Software Quality Journal","32","1",,"193","223",0,1,"10.1007/s11219-023-09639-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160692935&doi=10.1007%2fs11219-023-09639-z&partnerID=40&md5=18099698d8c76b8c4433c478c6f2db16",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85160692935
"Cob-Parro, A.C., Lalangui, Y., Lazcano, R.","57223032109;58929210800;57192839213;","Fostering Agricultural Transformation through AI: An Open-Source AI Architecture Exploiting the MLOps Paradigm",2024,"Agronomy","14","2","259","","",0,34,"10.3390/agronomy14020259","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187256455&doi=10.3390%2fagronomy14020259&partnerID=40&md5=c96b3c4ed6c0722100a4fe5c2fde9a8f",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85187256455
"Vitali, M., Soldani, J., Amadini, R., Brogi, A., Forti, S., Gazza, S., Giallorenzo, S., Plebani, P., Ponce, F., Zavattaro, G.","42662409700;56203938200;55975718400;57193752782;57195946378;59156384500;55932233200;22734593000;57193949387;6701571633;","FREEDA: Failure-Resilient, Energy-aware, and Explainable Deployment of Microservice-based Applications over Cloud-IoT Infrastructures",2024,"Ceur Workshop Proceedings","3692",,,"69","75",0,1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195213536&partnerID=40&md5=afdfee12fd37739ecbc0e45015517607",Conference Paper,"Final","",Scopus,2-s2.0-85195213536
"McColl, M., McColl, C., Tuxworth, G., Pereira, A., Hexel, R.","57207874099;57568276900;35147259800;55849822200;23396845500;","A Framework for Building Verifiable Scalable Embedded Systems Interfacing through Sensors and Actuators",2024,"Sensors and Transducers","265","2",,"27","39",0,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85209171886&partnerID=40&md5=dc85009829f94eb270dd24ada3e1d87c",Article,"Final","",Scopus,2-s2.0-85209171886
"Bankoff, K.P., Muñoz, R., Pasini, A., Pesado, P.","58636034400;57200604176;57190005712;55933335800;","Quality 4.0 in Software Engineering: Incorporating Scaled Agile Insights to a Framework Proposal",2024,"Communications in Computer and Information Science","2123 CCIS",,,"179","194",0,1,"10.1007/978-3-031-62245-8_13","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199202170&doi=10.1007%2f978-3-031-62245-8_13&partnerID=40&md5=e467d883f57589d7baf6bfd361f1e95d",Conference Paper,"Final","",Scopus,2-s2.0-85199202170
"Benmhamed, C., Zemzami, M., Yalaoui, F., Nguyen, N.-Q., Reddad, H., El Gaamaze, M.A.","60021847900;57193029543;6507073882;57183540500;58003044100;60022384900;","Industrial DevOps Soft: A New Framework for Enhancing Industry 4.0 Efficiency",2024,"2024 International Conference on Smart Digital Green Technologies and Artificial Intelligence Sciences Csdgais 2024",,,,"","",0,1,"10.1109/CSDGAIS64098.2024.11064768","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105012094076&doi=10.1109%2fCSDGAIS64098.2024.11064768&partnerID=40&md5=1a74ecccddea1007b8cd7f3b544a0ffd",Conference Paper,"Final","",Scopus,2-s2.0-105012094076
"Sanjay, R., Pulakhandam, D., Nirmalrani, V.","59143975000;59173944200;56491142200;","Real-Time Dashboarding using Big Data Tools",2024,"7th International Conference on Inventive Computation Technologies Icict 2024",,,,"629","635",0,2,"10.1109/ICICT60155.2024.10545021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196067123&doi=10.1109%2fICICT60155.2024.10545021&partnerID=40&md5=939f83fa9ab27368e633f1fc905f5619",Conference Paper,"Final","",Scopus,2-s2.0-85196067123
"Herrera Gonzalez, J.L., Montebugnoli, S., Scotece, D., Foschini, L.","57215896262;58614357200;57201698918;7004212533;","XSTART: XApp Simulated Evaluation Environment for Developers",2024,"2024 IEEE International Workshop on Metrology for Industry 4 0 and Iot Metroind4 0 and Iot 2024 Proceedings",,,,"366","371",0,2,"10.1109/MetroInd4.0IoT61288.2024.10584214","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199525706&doi=10.1109%2fMetroInd4.0IoT61288.2024.10584214&partnerID=40&md5=2d1b03d7c305bf911c540ab0d4fcdae3",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-85199525706
"Tshakwanda, P.M., Kumar, H., Arzo, S.T., Devetsikiotis, M.","58027777600;57322507400;55979134900;35598790300;","SE-DO: Navigating the 6G Frontier with Scalable and Efficient DevOps for Intelligent Agents Optimization",2024,"2024 IEEE 14th Annual Computing and Communication Workshop and Conference Ccwc 2024",,,,"269","277",0,3,"10.1109/CCWC60891.2024.10427717","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186746004&doi=10.1109%2fCCWC60891.2024.10427717&partnerID=40&md5=88c05045d9e7381568112c7199ef48cf",Conference Paper,"Final","",Scopus,2-s2.0-85186746004
"Loisel, F., Zeqo, G., Morichetta, A., Lackinger, A., Dustdar, S.","59452564700;59452778900;57201982932;59261526600;6701473617;","RainCloud: Decentralized Coordination and Communication in Heterogeneous IoT Swarms",2024,"Proceedings of the 1st International Symposium on Parallel Computing and Distributed Systems Pcds 2024",,,,"","",0,1,"10.1109/PCDS61776.2024.10743766","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85211381685&doi=10.1109%2fPCDS61776.2024.10743766&partnerID=40&md5=5e132f2f96ebbf1e6874b98ddb746f91",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-85211381685
"Vitumbiko, M., Kim, Y.","57282472600;56812550600;","Life Cycle Automation of IoT Services over Multiple Edge Clouds",2024,"International Conference on Information Networking",,,,"532","536",0,,"10.1109/ICOIN59985.2024.10572158","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198327189&doi=10.1109%2fICOIN59985.2024.10572158&partnerID=40&md5=20aeb4268055faad0bc7c2b20caf276e",Conference Paper,"Final","",Scopus,2-s2.0-85198327189
"Ghantous, G.B.","57204020559;","Enabling Digital Transformation Using DRA",2024,"Lecture Notes in Networks and Systems","1170 LNNS",,,"173","188",0,,"10.1007/978-3-031-73344-4_14","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207575676&doi=10.1007%2f978-3-031-73344-4_14&partnerID=40&md5=e25a21392d3b3dd98bf66faa630efffd",Conference Paper,"Final","",Scopus,2-s2.0-85207575676
"Maureal, A.L., Telen, M.A.E., Uy, U.L.F., Lorilla, F.M.A.","59531501000;59532351600;59531672800;57208543286;","Enhancing e-Governance through Microservices - The Development and Impact of the NTC-EDGE System",2024,"Mindanao Journal of Science and Technology","22",,,"260","276",0,,"10.61310/mjst.v22iS1.2221","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85216193975&doi=10.61310%2fmjst.v22iS1.2221&partnerID=40&md5=7c4aa0bfcf06fd081361366c9f15552e",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-85216193975
"Abbas, S.I., Walia, R.","58671169900;57201801382;","Analysis of Revolutionizing IoT Solutions through Cloud Computing Integration",2024,"Proceedings 2024 3rd International Conference on Sentiment Analysis and Deep Learning Icsadl 2024",,,,"39","45",0,1,"10.1109/ICSADL61749.2024.00012","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200704986&doi=10.1109%2fICSADL61749.2024.00012&partnerID=40&md5=ca23cd228d266ded81877fda54e2fbca",Conference Paper,"Final","",Scopus,2-s2.0-85200704986
"Beckmann, N., Lucia, B., Gobieski, G., Nowatzki, T., Jackson, T., Lallement, G., Zhang, K., Nagi, A., Sathe, A., Desai, H.","35106612200;25027799600;57191444561;55200649300;56669235100;57200283824;57215774892;57211567893;59231085000;57202645437;","Monza: An Energy-Minimal, General-Purpose Dataflow System-on-Chip for the Internet of Things",2024,"IEEE Micro","44","6",,"52","62",0,2,"10.1109/MM.2024.3426611","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199397652&doi=10.1109%2fMM.2024.3426611&partnerID=40&md5=f0fdb5fc4801baf41f2f1bdeae80d63f",Article,"Final","",Scopus,2-s2.0-85199397652
"Philippe, J., Omond, A., Coullon, H., Prud'Homme, C., Raïs, I.","57196243708;59122629100;36195502500;55959538000;57191587914;","Fast Choreography of Cross-DevOps Reconfiguration with Ballet: A Multi-Site OpenStack Case Study",2024,"Proceedings 2024 IEEE International Conference on Software Analysis Evolution and Reengineering Saner 2024",,,,"1","11",0,4,"10.1109/SANER60148.2024.00007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199801687&doi=10.1109%2fSANER60148.2024.00007&partnerID=40&md5=22ab3dba71d693b55b39923618234c47",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-85199801687
"Dakić, P.","57224193975;","Significance of Standards Compliance Organizations for the Sustainable Automotive Software and Car Production",2024,"Acta Polytechnica Hungarica","21","3",,"325","344",0,3,"10.12700/APH.21.3.2024.3.20","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85211182609&doi=10.12700%2fAPH.21.3.2024.3.20&partnerID=40&md5=450c40670df5bbb626fdba4b0253f8cc",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85211182609
"Abbas, S.I., Singh, M.","58671169900;56040301000;","Enhancing Operational Efficiency and User Experience in Virtual Workspaces: A Comprehensive Analysis and Action Plan",2024,"Proceedings 2024 3rd International Conference on Sentiment Analysis and Deep Learning Icsadl 2024",,,,"52","58",0,1,"10.1109/ICSADL61749.2024.00014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200704777&doi=10.1109%2fICSADL61749.2024.00014&partnerID=40&md5=b6121afe489c3957cb599064b67de9ca",Conference Paper,"Final","",Scopus,2-s2.0-85200704777
"Tazzioli, D., Sabbioni, A., Bujari, A., Foschini, L.","58930164700;57196191696;35118641200;7004212533;","Empowering Kubernetes with Platform Engineering to Automate IoT Processing Workflows Orchestration at the Edge",2024,"IEEE International Workshop on Computer Aided Modeling and Design of Communication Links and Networks Camad",,,,"","",0,1,"10.1109/CAMAD62243.2024.10942956","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105002867861&doi=10.1109%2fCAMAD62243.2024.10942956&partnerID=40&md5=dceb4acaacb4658b88ac75d3d4acaa09",Conference Paper,"Final","",Scopus,2-s2.0-105002867861
"Alselek, M., Alcaraz-Calero, J.M., Wang, Q.","57203132054;25721805600;57091061800;","Agile AI and Firmware Management in IoT: DevOps for Low-Power Microcontroller-Based Platforms",2024,"2024 9th International Conference on Smart and Sustainable Technologies Splitech 2024",,,,"","",0,1,"10.23919/SpliTech61897.2024.10612585","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202438268&doi=10.23919%2fSpliTech61897.2024.10612585&partnerID=40&md5=0ad5ef2896e4f58f28ae7cea6281ca77",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-85202438268
"Subramaniam, A., Prajapati, D.H., Alremeithi, K., Sealy, W.","59301480600;59301561900;58928449600;56300928700;","Enhancing Autonomous Robotics Through Cloud Computing",2024,"Proceedings of the 2024 IEEE International Conference on Industry 4 0 Artificial Intelligence and Communications Technology Iaict 2024",,,,"259","265",0,3,"10.1109/IAICT62357.2024.10617458","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202293340&doi=10.1109%2fIAICT62357.2024.10617458&partnerID=40&md5=eac5f78cd10c9315525a7122ea0c0eb3",Conference Paper,"Final","",Scopus,2-s2.0-85202293340
"Khalaifat, W., Abdulaziz, F.","59550189000;58991514200;","Challenges and Opportunities of DevOps for IoT Systems:DevOps-For-IoT",2024,"2024 International Conference on Innovation and Intelligence for Informatics Computing and Technologies 3ict 2024",,,,"289","294",0,2,"10.1109/3ICT64318.2024.10824302","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217431991&doi=10.1109%2f3ICT64318.2024.10824302&partnerID=40&md5=5242ca672ea7a5d87db176774b1b8585",Conference Paper,"Final","",Scopus,2-s2.0-85217431991
"Mahalingam, G., Appusamy, R.","59296259300;56740520300;","Forecast for Container Retention in IoT Serverless Applications on OpenWhisk",2024,"International Journal of Advanced Computer Science and Applications","15","7",,"1217","1225",0,,"10.14569/IJACSA.2024.01507119","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201870188&doi=10.14569%2fIJACSA.2024.01507119&partnerID=40&md5=73e32d37e2c57ef17a49563ac5aff105",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85201870188
"Amiri, A., Steindl, G., Kastner, W.","57210982553;57210927410;8390971800;","Model-Based Systems Engineering for the Agile Life-Cycle Management of IIoT Based on DevOps",2024,"IEEE International Conference on Emerging Technologies and Factory Automation ETFA",,,,"","",0,1,"10.1109/ETFA61755.2024.10711004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207817754&doi=10.1109%2fETFA61755.2024.10711004&partnerID=40&md5=828573e143732a97706a3ec05fe447fb",Conference Paper,"Final","",Scopus,2-s2.0-85207817754
"Yadav, V., Botchway, R.K., Šenkeřík, R., Komínková Oplatková, Z.","57303202200;57213065239;23975048900;15043128400;","A Kafka-Based Robot Automation Testing Using Genetic Algorithm",2024,"Lecture Notes in Electrical Engineering","1081",,,"297","308",0,,"10.1007/978-981-99-8703-0_25","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187790993&doi=10.1007%2f978-981-99-8703-0_25&partnerID=40&md5=ed779bc95cc8122cf373d156c79a7bbe",Conference Paper,"Final","",Scopus,2-s2.0-85187790993
