source;document_type;type_C_J;AREA;OUR-EVALUATION;nome-file2;TITLE;PUNTO;SOVRAPPOSIZIONI;NEW MODEL;MBSE;IOT SPECFIC;ALL;ALL5;DEPLOYMENT;ALL6;ORCHESTRATION;High Level;issues;ALL2;ALL22;Performance;Monitoring;Logginh;ALL3;ALL32;TESTING;ALL7;SECURITY;DEVSECOPS;ADDITIONAL;MATURITY MODEL;PRIVACY;ALL4;ALL8;SYSTEM;Citazioni distinte;Citazioni considerate su più aree;Quality Score;CLAUDE;Pag.Num;DESIGN;VALIDITY;REPLICABILITY;THREATS;MATURITY;POC;authors;year;doi;URL;abstract;keywords;journal;booktitle;publisher;thematic_area;iot_context;devops_practices;tools_frameworks;screening_reason;SCOPUS;IEEE;WOS;ACM;DISTINTI;
;Article;J;6 - Security, Privacy and Risk Assessment.;LOW;59;Creating It from SCRATCh: A Practical Approach for Enhancing the Security of IoT-Systems in a DevOps-Enabled Software Development Environment;1,32;1;;;;0;0;;0;;;;0;0;;;;0;0;;0;1;;;;;1;1;;2;2;1,32;HIGH;16;SUFFICIENT;SUFFICIENT;SUFFICIENT;SUFFICIENT;NO;YES;"Anton, SDD; Fraunholz, D; Krohmer, D; Reti, D; Schotten, HD; Selgert, F; Marosvölgyi, M; Larsen, M; Sudhakar, K; Koch, T; Witt, T; Bassem, C";2020;10.1007/978-3-030-55583-2_20;;DevOps describes a method to reorganize the way different disciplines in software engineering work together to speed up software delivery. However, the introduction of DevOps-methods to organisations is a complex task. A successful introduction results in a set of structured process descriptions. Despite the structure, this process leaves margin for error: Especially security issues are addressed in individual stages, without consideration of the interdependence. Furthermore, applying DevOps-methods to distributed entities, such as the Internet of Things (IoT) is difficult as the architecture is tailormade for desktop and cloud resources. In this work, an overview of tooling employed in the stages of DevOps processes is introduced. Gaps in terms of security or applicability to the IoT are derived. Based on these gaps, solutions that are being developed in the course of the research project SCRATCh are presented and discussed in terms of benefit to DevOps-environments. © 2020, Springer Nature Switzerland AG.;;Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics);;;6 - Security, Privacy and Risk Assessment;distributed IoT entities (generic);"DevOps tooling-gap analysis; security integration across stages";SCRATCh project tooling;Directly addresses security gaps in DevOps processes applied to IoT, presenting tools and solutions developed specifically for DevOps+IoT environments.;2;0;0;0;2;
;Conference paper;C;2 - CI/CD for Development, Integration, and Deployment;LOW;60;DeepRIoT: Continuous Integration and Deployment of Robotic-IoT Applications;1,98;2;;;;0;0;3;1;;;2;2;1;;;;0;0;;0;;;;;;0;0;-1;3;6;3,96;HIGH;6;GOOD;GOOD;SUFFICIENT;SUFFICIENT;NO;YES;"Qu M.; He J.; Tucaković Z.; Bartocci E.; Ničković D.; Isaković H.; Grosu R.";2024;10.1145/3649329.3658250;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85211103973&doi=10.1145%2f3649329.3658250&partnerID=40&md5=0cf50c1235537e8bc30c57d730a6fe7c;We present DeepRIoT, a continuous integration and continuous deployment (CI/CD) based architecture that accelerates the learning and deployment of a Robotic-IoT system trained from deep reinforcement learning (RL). We adopted a multi-stage approach that agilely trains a multi-objective RL controller in the simulator. We then collected traces from the real robot to optimize its plant model, and used transfer learning to adapt the controller to the updated model. We automated our framework through CI/CD pipelines, and finally, with low cost, succeeded in deploying our controller in a real F1tenth car that is able to reach the goal and avoid collision from a virtual car through mixed reality.;deep reinforcement learning, Sim2Real, DevOps, CI/CD;;Proceedings of the 61st ACM/IEEE Design Automation Conference;Association for Computing Machinery;2 - CI/CD for Development, Integration, and Deployment;Robotic-IoT (F1tenth robotic car);"CI/CD pipelines; automated deployment";not specified (custom framework);Directly presents a CI/CD-based architecture (DeepRIoT) for continuous integration and deployment of Robotic-IoT applications, substantially addressing DevOps+IoT integration with empirical validation.;3;0;1;3;3;
;Conference paper;C;3 - System-Wide Orchestration of Software and Hardware.;LOW;61;Design Concepts of the ASSIST-IoT Smart Orchestrator for Managing the Realization of NGIoT Systems;2,31;1;;;;0;0;;0;1;;;1;1;;;;0;0;;0;;;;;;0;0;-1;0;0;2,31;MEDIUM;6;GOOD;SUFFICIENT;GOOD;GOOD;YES;YES;"A. Fornes-Leal; F. M. Biot; R. Vaño; R. R. Simón; P. Szmeja; I. Lacalle; C. E. Palau";2023;10.1109/WF-IoT58464.2023.10539440;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10539440;This paper presents the design of the ASSIST-IoT's smart orchestrator. This solution aims at controlling the lifecycle of next-generation IoT enablers in distributed, multi-cluster environments, easing the communication of such enablers and increasing the overall network security. The presented high-level architecture is based on three main design concepts: cloud-nativeness, encapsulation, and automation. A preliminary realization of such architecture is described, along with some graphical interfaces specifically developed to manage it. Its practical use has served for validating its expected performance, allowing the instantiation and communication of enablers in Kubernetes-based distributed ecosystems, and has shown some potential areas of improvement: better support to broader number of use cases, optimization of installation procedures considering a unique packaging format, and enabling the integration of DevOps tools for both automated system and enablers' upgrading.;"orchestration;NGIoT;virtualization;Kubernetes";;2023 IEEE 9th World Forum on Internet of Things (WF-IoT);IEEE;3 - System-Wide Orchestration of Software and Hardware;next-generation IoT (NGIoT) multi-cluster enablers;"orchestration automation; DevOps tool integration (future work)";Kubernetes;Presents a smart orchestrator for next-generation IoT systems that explicitly mentions integration of DevOps tools for automated upgrading of IoT enablers in distributed Kubernetes environments.;0;0;0;0;0;
;Conference paper;C;2 - CI/CD for Development, Integration, and Deployment;LOW;62;Development of Artificial Intelligence Supported Tool for Anomaly Detection in Cloud Computing Systems;1,65;1;;;;0;0;3;1;;;;0;0;;;;0;0;;0;;;;;;0;0;;3;3;1,65;MEDIUM;6;SUFFICIENT;SUFFICIENT;SUFFICIENT;GOOD;NO;YES;"G. Aktas; B. Ipek; E. Ali Konukoglu; Y. Aydin";2023;10.1109/ICECCE61019.2023.10442490;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10442490;In the rapidly evolving landscape of Internet of Things (IoT) and Cloud systems, the complexity and scale of these technologies demand innovative solutions for efficient error detection and management. This paper proposes a robust framework for anomaly detection in cloud computing systems, emphasizing the critical role of automation and artificial intelligence (AI). The approach integrates Continuous Integration, Continuous Deployment (CICD) principles with AI-driven anomaly detection techniques to enhance system reliability and minimize risks. The study introduces a novel method employing one-dimensional convolutional layers and Autoencoder architecture to preprocess and analyze system metrics, enabling the development of an adaptive and customized anomaly detection system. The proposed framework is implemented through a Python-based agent, utilizing specific libraries and Continuous Integration/Continuous Deployment (CI/CD) processes executed via Jenkins. The agent is tested and deployed on Kubernetes, demonstrating its effectiveness in dynamic and complex environments. The results highlight the significance of iterative optimization, emphasizing continuous monitoring and adaptation for ensuring the robustness and reliability of cloud computing systems. This research contributes valuable insights into enhancing the efficiency of anomaly detection in large-scale cloud systems, paving the way for further advancements in the field of IoT and cloud technologies.;"cloud;artificial intelligent;monitoring;devops";;2023 International Conference on Electrical, Communication and Computer Engineering (ICECCE);IEEE;2 - CI/CD for Development, Integration, and Deployment;IoT/cloud systems (generic anomaly monitoring);CI/CD;"Jenkins; Kubernetes; Python";Integrates CI/CD principles with AI-driven anomaly detection deployed on Kubernetes for IoT/cloud systems, addressing DevOps tooling and practices in an IoT-adjacent context, though IoT is framing rather than the central focus.;3;2;0;0;3;
;Article;J;2 - CI/CD for Development, Integration, and Deployment;HIGH;63;DevOps Contract for Assuring Execution of IoT Microservices in the Edge;3,66;3;;;2;2;1;3;1;;;;0;0;;;;0;0;;0;;1;;;;1;1;;17;51;10,98;HIGH;18;HIGH;HIGH;HIGH;GOOD;YES;YES;"Truong H.-L.; Klein P.";2020;10.1016/j.iot.2019.100150;https://www.scopus.com/pages/publications/85087172820?origin=resultslist;The increasing availability of edge and IoT infrastructure-as-a-service allows us to develop lightweight IoT components and deploy them into edge/IoT infrastructures, enabling edge analytics and controls. This paper introduces the development of service contracts for IoT microservices from DevOps perspectives. We analyze stakeholders and present our methods to support stakeholders to program IoT service contracts. We address the diversity of service contracts by using common languages for IoT data and programming. We integrate the development and operation lifecycle of IoT contracts with IoT software components and with supporting DevOps services. To illustrate our approach, we use a real-world Base Transceiver Station maintenance application with Raspberry Pi, Java, JavaScript, JSON and other microservices. © 2019;;Internet of Things (Netherlands);;;2 - CI/CD for Development, Integration, and Deployment;IoT edge microservices (Base Transceiver Station maintenance);"DevOps service contracts; dev/ops lifecycle integration";"Raspberry Pi; Java; JavaScript; JSON";Directly addresses DevOps lifecycle integration with IoT microservices and service contracts, with a real-world edge/IoT deployment example.;16;0;11;0;17;
;Conference paper;C;7 - Comparative Analysis of Frameworks.;LOW;64;DevOps for IoT Applications Using Cellular Networks and Cloud;3,66;2;;;;0;0;3;1;;;;0;0;;1;;1;1;;0;;;;;;0;0;;20;40;7,32;HIGH;8;HIGH;HIGH;HIGH;GOOD;YES;YES;"A. Karapantelakis; H. Liang; K. Wang; K. Vandikas; R. Inam; E. Fersman; I. Mulas-Viela; N. Seyvet; V. Giannokostas";2016;10.1109/FiCloud.2016.55;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7575883;"The Internet of Things (IoT) is a vision of a future society where an ever-increasing number of heterogeneous physical devices (""things"") obtain Internet connectivity, thus enabling a large number of applications for a broad range of industries and society at large. Mobile network operators, expected to provide the network infrastructure for many of these applications, face an unprecedented level of complexity. This complexity not only relates to the number of applications that share the network infrastructure, but also to the different network Quality of Service (QoS) requirements these applications have. To achieve economies of scale, automation in management of those applications throughout their lifecycle is essential. In this paper, we propose an architecture that automates allocation, monitoring and deallocation of both cloud and cellular network resources to ensure QoS for applications that involve connected devices communicating with cloud-hosted software. We describe an implementation of this architecture using a combination of open source, commercial, and custom components and evaluate it through a series of measurements. Results show that our implementation can simultaneously support mobile broadband and low latency, high availability mission-critical applications.";"5G;Cloud;Internet of Things;Network Slicing;DevOps;Resource Orchestration;Automation";;2016 IEEE 4th International Conference on Future Internet of Things and Cloud (FiCloud);IEEE;2 - CI/CD for Development, Integration, and Deployment;cellular/5G-connected IoT devices;lifecycle automation (allocation/monitoring/deallocation);not specified (open-source + commercial + custom components);Proposes and evaluates a concrete architecture automating IoT application lifecycle management using DevOps principles across cellular networks and cloud, with empirical measurements.;20;15;7;0;20;
;Article;J;4 - Performance Monitoring.;HIGH;65;DevOps for IoT Systems: Fast and Continuous Monitoring Feedback of System Availability;4;3;1;;;1;1;3;1;;;;0;0;;1;;1;1;;0;;;;;;0;0;;46;138;12;HIGH;13;HIGH;HIGH;HIGH;HIGH;YES;YES;"M. A. López-Peña; J. Díaz; J. E. Pérez; H. Humanes";2020;10.1109/JIOT.2020.3012763;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9151987;Current Internet-of-Things (IoT) systems are highly distributed systems, which integrate cloud, fog, and edge computing approaches. Accelerating their maintenance and continuous improvement, while ensuring their availability, is complex. DevOps promotes fast and continuous feedback from operations to development to detect problems before customers are impacted, among other benefits. However, there is not any formal definition of how to do this. This article defines the “fast and continuous monitoring feedback of system availability” activity (F&CF availability) that supports automatic and continuous monitoring feedback from operations to the development of the IoT system availability. This activity has been formalized through the software and systems process engineering metamodel (SPEM). Its implementation is demonstrated in a real scenario that provides evidence that the formalization of the F&CF availability activity helps teams in better diagnosing and fixing outage problems. The result is a distributed and configurable monitoring component developed through code [monitoring as code (MaC)]. This component is embedded in the IoT infrastructure. MaC enables DevOps team to configure their own metrics and indicators at runtime, i.e., monitoring on demand. The formalization of this activity, based on an MaC technique, enables the automation, versioning, and replication of monitoring elements.;"Availability;continuous monitoring;DevOps;fast and continuous feedback activity;Internet-of-Things (IoT) systems";;IEEE Internet of Things Journal;IEEE;4 - Performance Monitoring;distributed IoT systems (cloud/fog/edge);"monitoring-as-code (MaC); continuous feedback, formalized via SPEM";not specified;Directly defines and formalizes a DevOps monitoring feedback activity for IoT systems, with empirical demonstration and a concrete monitoring-as-code implementation.;46;38;29;0;46;
;Conference paper;C;4 - Performance Monitoring.;MEDIUM;66;DevOps for the urban IoT;1,32;1;;;;0;0;;0;;;;0;0;;;1;1;1;;0;;;;;;0;0;;43;43;1,32;HIGH;4;SUFFICIENT;SUFFICIENT;SUFFICIENT;SUFFICIENT;NO;YES;"Moore J.; Kortuem G.; Smith A.; Chowdhury N.; Cavero J.; Gooch D.";2016;10.1145/2962735.2962747;https://www.scopus.com/pages/publications/84985914450?origin=resultslist;Choosing the right technologies to build an urban-scale IoT system can be challenging. There is often a focus on low-level architectural details such as the scalability of message handling. In our experience building an IoT information system requires a high-level holistic approach that mixes traditional data collection from vendor-specific cloud backends, together with data collected directly from embedded hardware and mobile devices. Supporting this heterogeneous environment can prove challenging and lead to complex systems that are difficult to develop and deploy in a timely fashion. In this paper we describe how we address these challenges by proposing a three-tiered DevOps model which we used to build an information system that is capable of providing real-time analytics of Electric Vehicle (EV) mobility usage and management within a smart city project. © 2016 ACM.;;ACM International Conference Proceeding Series;;;4 - Performance Monitoring;urban-scale smart-city IoT (EV mobility);three-tiered DevOps model;not specified;Directly proposes and applies a three-tiered DevOps model for building an urban-scale IoT information system, addressing motivations, practices, and architectural tools for DevOps+IoT integration.;23;0;32;23;43;
;Conference paper;C;5 - Large-Scale Testing.;LOW;67;Dockemu: Extension of a scalable network simulation framework based on docker and ns3 to cover iot scenarios;2,99;2;;;;0;0;2;1;;;;0;0;;;;0;0;2;1;;;;;;0;0;;7;14;5,98;LOW;8;HIGH;SUFFICIENT;HIGH;GOOD;YES;YES;"Portabales A.R.; Nores M.L.";2018;10.5220/0006913601750182;https://www.scopus.com/pages/publications/85071553858?origin=resultslist;The purpose of this project was to extend an existing open-source simulation framework called Dockemu in order to make it suitable to perform IoT simulations. The work covered some improvements with goes from the support of more network technologies to the use of setup and deployment tools used by modern devops professionals. The paper explains the architecture, the newly-added features and the specific advantages it offers for research works in IoT network simulations. Copyright © 2018 by SCITEPRESS-Science and Technology Publications, Lda. All rights reserved.;;SIMULTECH 2018 - Proceedings of 8th International Conference on Simulation and Modeling Methodologies, Technologies and Applications;;;5 - Large-Scale Testing;IoT network simulation scenarios;DevOps setup/deployment tooling (limited);"Docker; ns-3";Extends a network simulation framework for IoT scenarios using DevOps deployment tools, but the DevOps integration is limited to tooling adoption rather than a substantive contribution to DevOps+IoT practices.;7;0;0;0;7;
;Conference paper;C;2 - CI/CD for Development, Integration, and Deployment;MEDIUM;68;Edge Anomaly Detection Framework for AIOps in Cloud and IoT;2,31;2;;;;0;0;2;1;;;;0;0;;1;;1;1;;0;;;;;;0;0;;7;14;4,62;MEDIUM;8;GOOD;GOOD;GOOD;SUFFICIENT;YES;YES;"Moens P.; Andriessen B.; Sebrechts M.; Volckaert B.; Van Hoecke S.";2023;10.5220/0011838600003488;https://www.scopus.com/pages/publications/85160778762?origin=resultslist;Artificial Intelligence for IT Operations (AIOps) addresses the rising complexity of cloud computing and Internet of Things by assisting DevOps engineers to monitor and maintain applications. Machine Learning is an essential part of AIOps, enabling it to perform Anomaly Detection and Root Cause Analysis. These techniques are often executed in centralized components, however, which requires transferring vast amounts of data to a central location. This increase in network traffic causes strain on the network and results in higher latency. This paper leverages edge computing to address this issue by deploying ML models closer to the monitored services, reducing the network overhead. This paper investigates two architectural approaches: a sidecar architecture and a federated architecture, and highlights their advantages and shortcomings in different scenarios. Taking this into account, it proposes a framework that orchestrates the deployment and management of distributed edge ML models. Additionally, the paper introduces a Python library to assist data scientists during the development of AIOps techniques and concludes with a thorough evaluation of the resulting framework towards resource consumption and scalability. The results indicate up to 98.3% reduction in network usage depending on the configuration used while maintaining a minimal increase in resource usage at the edge. Copyright © 2023 by SCITEPRESS – Science and Technology Publications, Lda.;;International Conference on Cloud Computing and Services Science, CLOSER - Proceedings;;;2 - CI/CD for Development, Integration, and Deployment;cloud/IoT edge monitoring (AIOps);"AIOps; ML-based anomaly detection & root-cause analysis; edge ML deployment orchestration";custom Python library;Proposes an AIOps edge framework explicitly supporting DevOps engineers in IoT/cloud monitoring, addressing tools and practices for anomaly detection at the edge.;7;0;2;0;7;
;Conference paper;C;7 - Comparative Analysis of Frameworks.;LOW;70;Enabling operation data visibility for SmartX-mini IoT-cloud playground;0,99;2;;;;0;0;2;1;;;;0;0;;2;;2;1;;0;;;;;;0;0;-1;5;10;1,98;HIGH;3;SUFFICIENT;SUFFICIENT;SUFFICIENT;UNSUFFICIENT;NO;YES;"S. Kim; J. Kim";2016;10.1109/NETSOFT.2016.7502480;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7502480;SmartX-mini playground is a miniaturized IoT-Cloud environment, where DevOps-based automation can be practiced to develop and operate various IoT-Cloud services. Enabling visibility over the targeted playground is critical for the automated operation and effective resource utilization. Thus, in this paper, by leveraging various open-source software tools over small-size boxes, we design and prototype operation data visibility for SmartX-mini IoT-Cloud playground. Typically, we focus on open-source Kafka and Spark to meet the operation data visibility requirements of SmartX-mini playground. Scenario-driven experiments are executed to evaluate the analysis capability for distributed IoT boxes.;"Testbed and playground;IoT-Cloud services;operation data visibility;instrumentation and measurement";;2016 IEEE NetSoft Conference and Workshops (NetSoft);IEEE;2 - CI/CD for Development, Integration, and Deployment;IoT-cloud testbed/playground (SmartX-mini);"DevOps-based automation; operation data visibility";"Kafka; Spark";Directly describes a DevOps-based automation framework for an IoT-Cloud playground, implementing operational data visibility with open-source tools in a substantive empirical prototype.;5;5;3;0;5;
;Article;J;3 - System-Wide Orchestration of Software and Hardware.;HIGH;74;IoTDeploy: Deployment of IoT Smart Applications over the Computing Continuum;3,33;1;;;;0;0;;0;1;;2;3;1;;;;0;0;;0;;;;;;0;0;;11;11;3,33;HIGH;19;HIGH;HIGH;HIGH;SUFFICIENT;YES;YES;"Oliveira F.B.; Di Felice M.; Kamienski C.";2024;10.1016/j.iot.2024.101348;https://www.scopus.com/pages/publications/85202997242?origin=resultslist;IoT Smart Applications have created a demand for architectures, infrastructure, platforms, orchestration, and service deployment strategies. They are deployed from sensors to the cloud over a geographical and computing continuum, which is challenging for service orchestration and DevOps strategies. The distributed infrastructure to implement the end-to-end data path may vary, even for similar applications, concerning the services deployed over the mist, fog, edge, and cloud stages. This paper proposes and evaluates IoTDeploy, a solution for streamlining and scaling static and dynamic IoT service deployment over the continuum. IoTDeploy implements a CI/CD tool plugin for deploying applications running on the continuum and supports dynamic service migration. We evaluated the service migration from cloud to fog and fog to cloud with a case study on smart irrigation in agriculture. The experiments reveal that deployment in IoT-distributed environments is reliable and resilient, enabling migration without interrupting the application and losing data. © 2024 Elsevier B.V.;;Internet of Things (Netherlands);;;3 - System-Wide Orchestration of Software and Hardware;smart irrigation/agriculture (mist/fog/edge/cloud continuum);"CI/CD tool plugin; dynamic service migration";not specified;Proposes and evaluates IoTDeploy, a CI/CD plugin specifically designed for deploying IoT smart applications across the cloud-to-edge continuum, directly addressing DevOps tooling and deployment practices for IoT with empirical evaluation.;11;0;10;0;11;
;Conference paper;C;1 - Novel Models for IoT;LOW;77;Meta-Model Approach of Applied Devops on Internet of Things Ecosystem;2,33;1;1;;;1;1;;0;;;;0;0;;;;0;0;;0;;;;;;0;0;;1;1;2,33;MEDIUM;6;HIGH;SUFFICIENT;HIGH;UNSUFFICIENT;NO;YES;"B. El Khalyly; A. Belangour; A. Erraissi; M. Banane";2020;10.1109/ICECOCS50124.2020.9314552;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9314552;DevOps is a software development and distribution process. It combines an entire culture of collaboration and fusion between management approach, technologies of coding and technics of integration. DevOps is a new paradigm and novel concept that is introduced in different industries that concerns software and embedded development like robotics and smart agent.The ecosystem of the Internet of Things is a set of physical devices such as sensors and actuators. It includes a set of servers and gateways that provide connectivity. These devices can be installed at three levels: the edge level, the fog level and the cloud level. Applications that monitor things and collect data from sensors are deployed at the edge, fog and cloud levels. These applications can be containerized and deployed in different devices by Docker, which takes advantage of its advantage to create executable containers that are isolated from each other. This paper presents a generic metamodel of the Internet of Things ecosystem based on microservices and supported by Docker as a containerization tool and Ansible as a monitoring tool. This metamodel allows us to generate a system of connected objects that can be deployed on three levels: Fog, Edge, Cloud. This metamodel can be used in different types of domains such as Smart Home - Smart City - Smart Vehicle - Smart Health - Smart Farm - Smart Factory. The metamodel proposed in this article is a fusion between 5 metamodels: Internet of Things - Microservices - Ansible - Docker - Kubernetes.;"Model Driven Engineering;metamodeling;Microservices;Internet of Things;Devops;Docker;Ansible;Kubernetes";;2020 IEEE 2nd International Conference on Electronics, Control, Optimization and Computer Science (ICECOCS);IEEE;1 - Novel Models for IoT;generic IoT ecosystem (smart home/city/vehicle/health/farm/factory);containerization/monitoring metamodel;"Docker; Ansible; Kubernetes";Presents a metamodel for IoT ecosystems using microservices, Docker, and Ansible within a DevOps framing, though the DevOps integration is conceptual rather than empirically validated.;1;1;0;0;1;
;Article;J;3 - System-Wide Orchestration of Software and Hardware.;LOW;78;Microservices and DevOps for Optimal Benefits from IoT in Manufacturing;0,99;1;;;;0;0;1;1;;;;0;0;;;;0;0;;0;;;;;;0;0;;5;5;0,99;HIGH;6;SUFFICIENT;SUFFICIENT;SUFFICIENT;UNSUFFICIENT;NO;NO;"Choudhry A.; Premchand A.";2021;10.1007/978-981-15-7234-0_33;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096423479&doi=10.1007%2f978-981-15-7234-0_33&partnerID=40&md5=79f4143cea35de26446fb08cdff97954;Internet of Things (IoT) is not a pipe dream anymore. The trajectory of growth in the Internet of Things (IoT) space has been nothing short of phenomenal in the last few years. It is envisaged to keep a similar pace of growth for the next few years. This paper looks at Microservices and DevOps as relevant levers for faster adoption of IoT as well as for following the path of least resistance keeping in mind factors like future growth, pervasiveness, miniaturization, economics, etc. This paper proposes that usage of DevOps and Microservices is essential for eliciting maximum benefits from IoT and suggests a framework for the same. It also discusses the combined effects and benefits of IoT, Microservices, and DevOps. © 2021, Springer Nature Singapore Pte Ltd.;;Advances in Intelligent Systems and Computing;;;3 - System-Wide Orchestration of Software and Hardware;IoT in manufacturing;microservices + DevOps framework;not specified;Directly proposes a framework combining DevOps and microservices as essential levers for IoT adoption in manufacturing, with explicit discussion of combined benefits and integration rationale.;5;0;0;0;5;
;Conference paper;C;3 - System-Wide Orchestration of Software and Hardware.;LOW;79;Migrating from Microservices to Serverless: An IoT Platform Case Study;1,32;1;;;;0;0;;0;;;1;1;1;;;;0;0;;0;;;;;;0;0;;2;2;1,32;MEDIUM;6;SUFFICIENT;SUFFICIENT;SUFFICIENT;SUFFICIENT;NO;NO;"Chadha M.; Pacyna V.; Jindal A.; Gu J.; Gerndt M.";2022;10.1145/3565382.3565881;https://www.scopus.com/pages/publications/85145557445?origin=resultslist;Microservice architecture is the common choice for developing cloud applications these days since each individual microservice can be independently modified, replaced, and scaled. As a result, application development and operating cloud infrastructure were bundled together into what is now commonly called DevOps. However, with the increasing popularity of the serverless computing paradigm and its several advantages such as no infrastructure management, a pay-per-use billing policy, and on-demand fine-grained autoscaling, there is a growing interest in utilizing FaaS and server-less CaaS technologies for refactoring microservices-based applications. Towards this, we migrate a complex IoT platform application onto OpenWhisk (OW) and Google Cloud Run (GCR). We comprehensively evaluate the performance of the different deployment strategies, i.e., Google Kubernetes Engine (GKE)-Standard, OW, and GCR for the IoT platform using different load testing scenarios. Results from our experiments show that while GKE standard performs best for most scenarios, GCR is always cheaper wrt costs.  © 2022 ACM.;;WoSC 2022 - Proceedings of the 8th International Workshop on Serverless Computing, Part of Middleware 2022;;;3 - System-Wide Orchestration of Software and Hardware;IoT platform application (serverless migration);"DevOps (microservices/serverless refactoring); load testing";"OpenWhisk; Google Cloud Run; Google Kubernetes Engine";Examines migration of a complex IoT platform from microservices to serverless architectures within a DevOps context, providing empirical performance evaluation across deployment strategies.;1;0;0;2;2;
;Article;J;2 - CI/CD for Development, Integration, and Deployment;MEDIUM;80;Mobile iot-edge-cloud continuum based and devops enabled software framework;2,31;4;;;2;2;1;2;1;2;;;2;1;;1;;1;1;;0;;;;;;0;0;;13;52;9,24;HIGH;15;GOOD;SUFFICIENT;GOOD;GOOD;NO;YES;"Judvaitis J.; Balass R.; Greitans M.";2021;10.3390/jsan10040062;https://www.scopus.com/pages/publications/85119038134?origin=resultslist;This research aims to provide a high-level software framework for IoT-Edge-Cloud computational continuum-based applications with support for mobile IoT and DevOps integration utilizing the Edge computing paradigms. This is achieved by dividing the system in a modular fashion and providing a loosely coupled service and module descriptions for usage in the respective system layers for flexible and yet trustworthy implementation. The article describes the software architecture for a DevOps-enabled Edge computing solution in the IoT-Edge-Cloud computational continuum with the support for flexible and mobile IoT solutions. The proposed framework is validated on an intelligent transport system use case in the rolling stock domain and showcases the improvements gained by using the proposed IoT-Edge-Cloud continuum framework. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.;;Journal of Sensor and Actuator Networks;;;2 - CI/CD for Development, Integration, and Deployment;mobile IoT (intelligent transport system, rolling stock);DevOps-enabled edge-computing framework;not specified;Directly proposes a DevOps-enabled software framework for the IoT-edge-cloud continuum with mobile IoT support, validated on an intelligent transport use case, substantially addressing all three research questions.;13;0;9;0;13;
;Article;J;4 - Performance Monitoring.;HIGH;81;Model-based fleet deployment in the IoT–edge–cloud continuum;4;1;2;;;2;1;;0;;;;0;0;;;;0;0;;0;;;;;;0;0;;52;52;4;HIGH;26;HIGH;HIGH;HIGH;HIGH;YES;YES;"Song H.; Dautov R.; Ferry N.; Solberg A.; Fleurey F.";2022;10.1007/s10270-022-01006-z;https://www.scopus.com/pages/publications/85129268131?origin=resultslist;With the increasing computing and networking capabilities, IoT devices and edge gateways have become part of a larger IoT–edge–cloud computing continuum, where processing and storage tasks are distributed across the whole network hierarchy, not concentrated only in the cloud. At the same time, this also introduced continuous delivery practices to the development of software components for network-connected gateways and sensing/actuating nodes. These devices are placed on end users’ premises and are characterized by continuously changing cyber-physical contexts, forcing software developers to maintain multiple application versions and frequently redeploy them on a distributed fleet of devices with respect to their current contexts. Doing this correctly and efficiently goes beyond manual capabilities and requires an intelligent and reliable automated solution. This paper describes a model-based approach to automatically assigning multiple software deployment plans to hundreds of edge gateways and connected IoT devices implemented in collaboration with a smart healthcare application provider. From a platform-specific model of an existing edge computing platform, we extract a platform-independent model that describes a list of target devices and a pool of available deployment plans. Next, we use constraint solving to automatically assign deployment plans to devices at once with respect to their specific contexts. The result is transformed back into the platform-specific model and includes a suitable deployment plan for each device, which is then consumed by our engine to deploy software components not only on edge gateways but also on their downstream IoT devices with constrained resources and connectivity. We validate the approach with a fleet deployment prototype integrated into a DevOps toolchain used by the partner application provider. Initial experiments demonstrate the viability of the approach and its usefulness in supporting DevOps for edge and IoT software development. © 2022, The Author(s).;;Software and Systems Modeling;;;3 - System-Wide Orchestration of Software and Hardware;IoT-edge-cloud continuum (smart-healthcare device fleet);"model-based automated deployment; DevOps toolchain integration";constraint solver (unspecified);Directly addresses continuous delivery practices and model-based automated deployment across the IoT-edge-cloud continuum for fleets of IoT devices, with a concrete smart healthcare case study.;28;0;33;0;52;
